GCIF,Area,Jalur_Pembukaan,Vintage,Usia,Jenis_Kelamin,Status_Perkawinan,Jumlah_Anak,Pendidikan,Produk_Tabungan,Produk_Deposito,Produk_Kartu_Kredit,Produk_Kredit_Rumah,Produk_Kredit_Kendaraan,Produk_Kredit_Dana_Tunai,Total_Kepemilikan_Produk,Pendapatan_Tahunan,Total_Relationship_Balance
G09343,Bandung,Aplikasi Digital,< 1 Tahun,30,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,101,349130731
G03470,Bogor,Cabang,< 1 Tahun,27,Laki-laki,Menikah,1,Doktor,1,0,0,1,0,0,2,122,302011517
G10687,Jakarta,Aplikasi Digital,< 1 Tahun,29,Laki-laki,Menikah,1,Doktor,1,0,0,1,0,0,2,390,56866952
G28100,Jogja,Internet Banking,< 1 Tahun,27,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,207,407833394
G22694,Solo,Cabang,< 1 Tahun,37,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,294,203939268
G01138,Bandung,Telemarketing,< 1 Tahun,44,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,576,281185440
G10368,Jakarta,Cabang,< 1 Tahun,28,Laki-laki,Menikah,3,Doktor,1,0,0,1,0,0,2,324,69241136
G12673,Surabaya,Aplikasi Digital,< 1 Tahun,35,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,277,234545356
G12558,Jogja,Telemarketing,< 1 Tahun,48,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,543,32691472
G05472,Bandung,Telemarketing,< 1 Tahun,25,Laki-laki,Menikah,1,Doktor,1,1,0,0,0,0,2,435,217643256
G10376,Surabaya,Aplikasi Digital,< 1 Tahun,37,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,446,389135832
G17102,Jakarta,Telemarketing,< 1 Tahun,40,Laki-laki,Cerai,4,Doktor,1,0,0,1,0,0,2,291,386043159
G07722,Bandung,Aplikasi Digital,< 1 Tahun,29,Laki-laki,Menikah,4,Doktor,1,0,0,1,0,0,2,354,96094466
G17765,Jakarta,Telemarketing,< 1 Tahun,47,Laki-laki,Menikah,4,Doktor,1,0,1,0,0,0,2,290,323460683
G19241,Surabaya,Cabang,< 1 Tahun,51,Perempuan,Menikah,1,Doktor,1,0,0,0,0,1,2,883,26556641
G15597,Jakarta,Telemarketing,< 1 Tahun,46,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,523,8288959
G16193,Solo,Aplikasi Digital,< 1 Tahun,50,Perempuan,Cerai,1,Doktor,1,1,0,0,0,0,2,675,374764361
G13311,Jogja,Internet Banking,< 1 Tahun,38,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,0,2,459,353404619
G17317,Jakarta,Telemarketing,< 1 Tahun,29,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,140,73819406
G23792,Solo,Internet Banking,< 1 Tahun,61,Laki-laki,Menikah,3,Doktor,0,0,0,1,0,1,2,400,361489901
G05243,Surabaya,Telemarketing,< 1 Tahun,52,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,0,2,490,209637178
G23617,Jakarta,Telemarketing,< 1 Tahun,53,Laki-laki,Menikah,4,Doktor,0,1,1,0,0,0,2,775,162788080
G11385,Bandung,Cabang,< 1 Tahun,44,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,412,252991907
G02218,Bogor,Cabang,< 1 Tahun,36,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,369,153702430
G09512,Bandung,Cabang,< 1 Tahun,24,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,310,122990289
G11127,Solo,Internet Banking,< 1 Tahun,42,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,356,383117040
G24321,Jakarta,Telemarketing,< 1 Tahun,38,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,0,2,392,145073966
G13942,Bandung,Internet Banking,< 1 Tahun,55,Laki-laki,Cerai,3,Doktor,1,0,0,1,0,0,2,323,411893920
G22108,Solo,Telemarketing,< 1 Tahun,52,Laki-laki,Menikah,2,Doktor,1,0,0,1,0,0,2,629,199250793
G23073,Jakarta,Telemarketing,< 1 Tahun,42,Perempuan,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,483,439752783
G14722,Surabaya,Internet Banking,< 1 Tahun,55,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,601,135326713
G27406,Solo,Cabang,< 1 Tahun,68,Laki-laki,Menikah,4,Doktor,0,1,0,0,0,1,2,712,61595276
G26544,Bandung,Aplikasi Digital,< 1 Tahun,51,Laki-laki,Cerai,1,Doktor,1,1,0,0,0,0,2,560,385896895
G15827,Solo,Cabang,< 1 Tahun,48,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,0,2,412,140422883
G00466,Bogor,Cabang,< 1 Tahun,30,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,321,410338577
G16732,Jakarta,Telemarketing,< 1 Tahun,39,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,0,2,589,67203025
G02552,Bogor,Internet Banking,< 1 Tahun,30,Laki-laki,Menikah,1,Doktor,1,0,0,0,0,1,2,456,26255115
G22498,Bandung,Aplikasi Digital,< 1 Tahun,47,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,500,103946187
G25576,Bandung,Internet Banking,< 1 Tahun,69,Laki-laki,Menikah,1,Doktor,0,0,0,1,0,1,2,335,104890778
G08114,Jakarta,Telemarketing,< 1 Tahun,41,Laki-laki,Cerai,0,Doktor,1,1,0,0,0,0,2,250,396318725
G14027,Solo,Internet Banking,< 1 Tahun,50,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,623,392418629
G01933,Jakarta,Telemarketing,< 1 Tahun,35,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,453,64067955
G01123,Jogja,Aplikasi Digital,< 1 Tahun,27,Perempuan,Menikah,4,Doktor,1,0,0,1,0,0,2,117,241420903
G08464,Bandung,Aplikasi Digital,< 1 Tahun,30,Perempuan,Menikah,0,Doktor,1,0,0,1,0,0,2,147,295726723
G06791,Bogor,Cabang,< 1 Tahun,33,Perempuan,Menikah,3,Doktor,1,0,0,1,0,0,2,114,154347130
G12622,Solo,Telemarketing,< 1 Tahun,45,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,0,1,2,557,358956947
G16053,Jakarta,Aplikasi Digital,< 1 Tahun,37,Perempuan,Menikah,4,Doktor,1,0,0,1,0,0,2,254,423322950
G01693,Surabaya,Cabang,< 1 Tahun,34,Laki-laki,Menikah,3,Doktor,1,1,0,0,0,0,2,231,369964836
G15206,Surabaya,Cabang,< 1 Tahun,37,Laki-laki,Menikah,3,Doktor,1,0,0,0,0,1,2,280,253992146
G23202,Bandung,Cabang,< 1 Tahun,50,Laki-laki,Menikah,2,Doktor,0,1,0,1,0,0,2,821,354323943
G11685,Bandung,Aplikasi Digital,< 1 Tahun,45,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,0,2,303,384011918
G23115,Bandung,Internet Banking,< 1 Tahun,54,Perempuan,Menikah,0,Doktor,0,1,0,1,0,0,2,398,119956242
G23403,Jogja,Cabang,< 1 Tahun,50,Perempuan,Menikah,1,Doktor,0,0,0,1,0,1,2,682,202130170
G00294,Jogja,Telemarketing,< 1 Tahun,59,Perempuan,Cerai,3,Doktor,1,0,1,0,0,0,2,515,289755546
G24098,Surabaya,Telemarketing,< 1 Tahun,64,Perempuan,Menikah,3,Doktor,0,0,0,1,0,1,2,854,382251539
G14803,Jogja,Internet Banking,< 1 Tahun,41,Laki-laki,Menikah,0,Doktor,1,0,0,0,0,1,2,452,104026771
G08425,Jakarta,Telemarketing,< 1 Tahun,44,Perempuan,Cerai,1,Doktor,1,0,0,1,0,0,2,582,424160683
G25367,Surabaya,Telemarketing,< 1 Tahun,57,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,0,2,346,379048900
G11767,Jakarta,Telemarketing,< 1 Tahun,39,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,580,233840994
G25896,Jakarta,Internet Banking,< 1 Tahun,67,Laki-laki,Menikah,0,Doktor,0,1,0,1,0,0,2,387,79728682
G14922,Surabaya,Internet Banking,< 1 Tahun,55,Perempuan,Cerai,3,Doktor,1,0,0,1,0,0,2,545,116084995
G26526,Surabaya,Telemarketing,< 1 Tahun,60,Laki-laki,Menikah,4,Doktor,0,1,0,1,0,0,2,310,236866212
G20395,Jogja,Aplikasi Digital,< 1 Tahun,52,Perempuan,Menikah,3,Doktor,1,0,0,1,0,0,2,373,68470731
G24946,Bandung,Internet Banking,< 1 Tahun,69,Laki-laki,Menikah,3,Doktor,0,1,0,1,0,0,2,332,58613025
G20545,Jakarta,Telemarketing,< 1 Tahun,52,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,801,357292094
G26776,Bandung,Cabang,< 1 Tahun,66,Perempuan,Menikah,0,Doktor,0,1,0,0,0,1,2,473,391897023
G02853,Jakarta,Telemarketing,< 1 Tahun,52,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,501,161283293
G27824,Jakarta,Internet Banking,< 1 Tahun,54,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,0,2,465,303292849
G26920,Jogja,Cabang,< 1 Tahun,59,Perempuan,Cerai,1,Doktor,1,0,0,1,0,0,2,521,367036641
G26183,Bandung,Telemarketing,< 1 Tahun,69,Perempuan,Menikah,4,Doktor,0,1,0,1,0,0,2,885,390242851
G28091,Jogja,Internet Banking,< 1 Tahun,67,Perempuan,Menikah,0,Doktor,0,0,0,1,0,1,2,694,345872387
G22800,Solo,Aplikasi Digital,< 1 Tahun,52,Perempuan,Menikah,1,Doktor,1,0,0,1,0,0,2,780,6323994
G23694,Jakarta,Telemarketing,< 1 Tahun,52,Laki-laki,Menikah,2,Doktor,0,1,1,0,0,0,2,550,55181407
G26289,Surabaya,Aplikasi Digital,< 1 Tahun,60,Laki-laki,Menikah,3,Doktor,0,0,0,1,0,1,2,440,371843642
G22997,Surabaya,Aplikasi Digital,< 1 Tahun,53,Laki-laki,Menikah,1,Doktor,1,1,0,0,0,0,2,352,363912184
G24089,Surabaya,Internet Banking,< 1 Tahun,52,Perempuan,Belum Menikah,0,Doktor,1,0,1,0,0,0,2,636,20310776
G24834,Jakarta,Telemarketing,< 1 Tahun,69,Laki-laki,Menikah,4,Doktor,0,1,0,0,0,1,2,418,56235807
G01496,Solo,Internet Banking,< 1 Tahun,58,Perempuan,Cerai,1,Doktor,1,1,0,0,0,0,2,440,51230244
G05040,Bogor,Aplikasi Digital,< 1 Tahun,40,Perempuan,Cerai,1,Doktor,1,0,0,1,0,0,2,93,216185278
G09030,Bandung,Cabang,< 1 Tahun,57,Laki-laki,Cerai,2,Doktor,1,0,0,0,0,1,2,499,169831417
G22484,Jogja,Telemarketing,< 1 Tahun,53,Laki-laki,Cerai,4,Doktor,1,1,0,0,0,0,2,366,329773385
G23000,Jakarta,Telemarketing,< 1 Tahun,47,Laki-laki,Cerai,1,Doktor,1,1,0,0,0,0,2,271,391173977
G24530,Jakarta,Telemarketing,< 1 Tahun,48,Laki-laki,Cerai,2,Doktor,1,1,0,0,0,0,2,334,212749115
G00208,Solo,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,2,Doktor,1,0,1,0,0,0,2,193,42529955
G00989,Bandung,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,3,Doktor,1,0,0,1,0,0,2,288,267460800
G01276,Jakarta,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,3,Doktor,1,1,0,0,0,0,2,408,54420710
G02071,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,3,Doktor,1,1,0,0,0,0,2,320,445645812
G06039,Bogor,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,0,0,1,0,0,2,455,15767785
G09897,Bandung,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,1,0,0,0,0,2,183,248676273
G11376,Bandung,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,2,Doktor,1,0,0,0,0,1,2,229,307331576
G12301,Jakarta,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,3,Doktor,1,1,0,0,0,0,2,90,228490058
G12620,Solo,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,2,Doktor,1,0,1,0,0,0,2,270,380994893
G12706,Solo,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,0,Doktor,1,1,0,0,0,0,2,226,312227174
G13111,Bandung,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,0,Doktor,1,0,0,1,0,0,2,209,443066185
G10732,Bandung,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,0,0,0,1,0,2,267,108578296
G17006,Surabaya,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,3,Doktor,1,1,0,0,0,0,2,474,369393630
G19703,Jogja,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,0,0,1,0,0,2,261,390671043
G22796,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,3,Doktor,1,1,0,0,0,0,2,289,131336800
G20262,Surabaya,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,1,0,0,0,0,2,107,252024463
G27208,Solo,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,1,Doktor,1,1,0,0,0,0,2,221,30356521
G27617,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Doktor,1,0,0,1,0,0,2,193,326758724
G10775,Jogja,Cabang,< 1 Tahun,25,Perempuan,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,313,121510052
G03925,Jakarta,Aplikasi Digital,< 1 Tahun,26,Laki-laki,Menikah,4,Doktor,1,0,0,1,0,1,3,437,109422720
G10844,Surabaya,Telemarketing,< 1 Tahun,30,Laki-laki,Menikah,1,Doktor,1,1,0,1,0,0,3,115,138770743
G02886,Jogja,Internet Banking,< 1 Tahun,30,Perempuan,Menikah,1,Doktor,1,1,0,1,0,0,3,488,397497746
G26471,Bandung,Aplikasi Digital,< 1 Tahun,30,Laki-laki,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,484,293190469
G00859,Surabaya,Cabang,< 1 Tahun,34,Perempuan,Menikah,1,Doktor,1,0,1,0,0,1,3,121,19194135
G27547,Surabaya,Cabang,< 1 Tahun,30,Perempuan,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,224,386892924
G10984,Jakarta,Telemarketing,< 1 Tahun,23,Perempuan,Belum Menikah,0,Doktor,1,1,0,0,0,1,3,258,363570893
G11482,Jakarta,Cabang,< 1 Tahun,34,Laki-laki,Menikah,1,Doktor,1,0,0,1,0,1,3,100,29890672
G02837,Jogja,Internet Banking,< 1 Tahun,24,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,1,3,134,130077395
G02110,Jakarta,Internet Banking,< 1 Tahun,31,Laki-laki,Menikah,4,Doktor,1,1,0,1,0,0,3,358,173788389
G26255,Surabaya,Telemarketing,< 1 Tahun,29,Laki-laki,Belum Menikah,0,Doktor,1,0,0,0,1,1,3,480,219453921
G20108,Bandung,Internet Banking,< 1 Tahun,20,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,1,3,421,166984464
G11630,Jakarta,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,1,Doktor,1,1,0,1,0,0,3,468,153488665
G05974,Jogja,Internet Banking,< 1 Tahun,34,Laki-laki,Menikah,2,Doktor,1,0,0,1,0,1,3,172,407580461
G11191,Surabaya,Telemarketing,< 1 Tahun,27,Perempuan,Menikah,3,Doktor,1,0,0,1,0,1,3,157,239139050
G07864,Jogja,Telemarketing,< 1 Tahun,33,Perempuan,Menikah,1,Doktor,1,0,1,1,0,0,3,161,143669819
G06345,Bandung,Internet Banking,< 1 Tahun,32,Laki-laki,Belum Menikah,0,Doktor,1,0,1,0,0,1,3,232,306590456
G08330,Bandung,Internet Banking,< 1 Tahun,25,Laki-laki,Menikah,0,Doktor,1,0,0,1,0,1,3,411,339952751
G07842,Solo,Internet Banking,< 1 Tahun,30,Laki-laki,Menikah,2,Doktor,1,0,1,1,0,0,3,460,361201403
G08257,Jakarta,Telemarketing,< 1 Tahun,32,Perempuan,Menikah,1,Doktor,1,0,0,0,1,1,3,327,447793314
G01939,Surabaya,Telemarketing,< 1 Tahun,20,Perempuan,Belum Menikah,0,Doktor,1,1,0,1,0,0,3,484,116754696
G10129,Solo,Cabang,< 1 Tahun,28,Laki-laki,Menikah,3,Doktor,1,0,1,1,0,0,3,293,15353421
G12161,Bandung,Aplikasi Digital,< 1 Tahun,29,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,1,3,471,420477191
G04900,Solo,Telemarketing,< 1 Tahun,23,Laki-laki,Belum Menikah,0,Doktor,1,1,0,1,0,0,3,446,272300413
G02983,Surabaya,Internet Banking,< 1 Tahun,60,Perempuan,Cerai,3,Doktor,1,0,0,1,0,1,3,413,286876147
G12861,Bandung,Cabang,< 1 Tahun,53,Laki-laki,Cerai,3,Doktor,1,1,0,1,0,0,3,533,25269818
G08836,Surabaya,Aplikasi Digital,< 1 Tahun,56,Laki-laki,Cerai,1,Doktor,1,1,0,1,0,0,3,370,50215604
G04602,Solo,Telemarketing,< 1 Tahun,25,Perempuan,Menikah,0,Doktor,1,1,0,1,0,0,3,147,213789264
G27115,Jakarta,Telemarketing,< 1 Tahun,38,Laki-laki,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,503,135677472
G04370,Surabaya,Cabang,< 1 Tahun,34,Laki-laki,Menikah,4,Doktor,1,1,0,0,0,1,3,159,75565902
G06855,Surabaya,Aplikasi Digital,< 1 Tahun,30,Laki-laki,Menikah,2,Doktor,1,0,0,1,0,1,3,335,9589804
G05979,Bandung,Aplikasi Digital,< 1 Tahun,29,Laki-laki,Menikah,0,Doktor,1,0,0,1,0,1,3,494,435055160
G04549,Solo,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,3,Doktor,1,0,0,1,0,1,3,238,138996645
G04634,Jakarta,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,0,Doktor,1,1,0,0,0,1,3,492,41331842
G10012,Solo,Telemarketing,< 1 Tahun,31,Perempuan,Menikah,0,Doktor,1,0,0,1,0,1,3,373,101361620
G19887,Surabaya,Telemarketing,< 1 Tahun,22,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,1,3,195,437063707
G01360,Jogja,Telemarketing,< 1 Tahun,31,Perempuan,Menikah,3,Doktor,1,1,0,1,0,0,3,102,2963230
G22288,Jogja,Aplikasi Digital,< 1 Tahun,23,Laki-laki,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,163,247625556
G18141,Solo,Cabang,< 1 Tahun,44,Laki-laki,Menikah,4,Doktor,1,0,0,1,0,1,3,553,390912225
G10750,Jakarta,Telemarketing,< 1 Tahun,26,Perempuan,Menikah,1,Doktor,1,1,0,0,0,1,3,288,58268220
G08793,Solo,Cabang,< 1 Tahun,33,Laki-laki,Belum Menikah,0,Doktor,1,1,0,0,0,1,3,165,183687134
G17561,Bandung,Telemarketing,< 1 Tahun,36,Perempuan,Menikah,1,Doktor,1,0,1,0,0,1,3,434,377022478
G11069,Bandung,Aplikasi Digital,< 1 Tahun,28,Perempuan,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,235,122499927
G15926,Solo,Internet Banking,< 1 Tahun,23,Laki-laki,Belum Menikah,0,Doktor,1,0,1,0,1,0,3,188,150170511
G00415,Bandung,Internet Banking,< 1 Tahun,26,Perempuan,Menikah,0,Doktor,1,0,0,1,0,1,3,214,65661583
G22588,Solo,Aplikasi Digital,< 1 Tahun,50,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,1,3,713,129609492
G13064,Solo,Aplikasi Digital,< 1 Tahun,45,Laki-laki,Menikah,1,Doktor,1,0,1,1,0,0,3,585,346751713
G14528,Jakarta,Telemarketing,< 1 Tahun,38,Perempuan,Menikah,1,Doktor,1,0,1,1,0,0,3,452,379169875
G05817,Jakarta,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,0,Doktor,1,1,0,1,0,0,3,283,143820483
G02446,Jakarta,Telemarketing,< 1 Tahun,45,Laki-laki,Belum Menikah,0,Doktor,1,1,1,0,0,0,3,366,82578800
G10411,Bandung,Cabang,< 1 Tahun,31,Perempuan,Menikah,0,Doktor,1,0,0,1,0,1,3,141,433486688
G04587,Jakarta,Telemarketing,< 1 Tahun,43,Perempuan,Belum Menikah,0,Doktor,1,0,1,0,0,1,3,487,220785471
G17328,Bandung,Internet Banking,< 1 Tahun,46,Laki-laki,Menikah,3,Doktor,1,0,0,1,0,1,3,398,189504240
G14938,Jakarta,Internet Banking,< 1 Tahun,54,Laki-laki,Belum Menikah,0,Doktor,1,0,0,1,0,1,3,323,324765535
G10670,Solo,Cabang,< 1 Tahun,50,Laki-laki,Cerai,2,Doktor,1,1,0,0,0,1,3,547,293622587
G20259,Bogor,Aplikasi Digital,< 1 Tahun,54,Laki-laki,Menikah,1,Doktor,1,0,0,1,0,1,3,761,198693252
G20606,Jogja,Internet Banking,< 1 Tahun,40,Laki-laki,Cerai,0,Doktor,1,1,0,1,0,0,3,475,310837665
G21622,Bandung,Telemarketing,< 1 Tahun,52,Perempuan,Menikah,1,Doktor,1,0,1,1,0,0,3,308,333176588
G16064,Jakarta,Telemarketing,< 1 Tahun,42,Laki-laki,Menikah,0,Doktor,1,1,0,1,0,0,3,254,210111197
G25304,Bandung,Internet Banking,< 1 Tahun,60,Perempuan,Menikah,0,Doktor,0,1,1,1,0,0,3,689,126847691
G14559,Solo,Telemarketing,< 1 Tahun,32,Laki-laki,Belum Menikah,0,Doktor,1,1,0,1,0,0,3,163,313882580
